fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
14,3.176,12,2.380,14,2.896,12,125.425,20,999.999,
17,2.576,7,3.029,,,13,134.372,20,999.999,
12,1.728,14,1.587,8,1.675,15,999.999,14,999.999,
14,2.868,12,2.645,13,2.739,15,136.660,20,DNS,
10,1.879,20,3.275,20,999.999,7,121.048,12,999.999,

12,1.313,7,1.310,16,2.712,12,113.693,16,999.999,
14,1.999,12,2.153,17,3.141,19,144.334,9,59.551,
15,1.507,8,1.249,9,1.535,12,105.602,20,999.999,
9,1.867,8,1.360,7,1.501,7,117.549,20,999.999,
9,1.867,8,1.360,7,1.501,7,117.549,6,71.223,
10,2.144,11,1.990,13,2.750,10,145.090,20,999.999,
4,0.554,7,1.936,8,1.270,8,141.179,17,999.999,
11,1.650,5,1.303,3,1.635,10,131.704,11,999.999,
8,1.369,11,999.999,12,2.069,20,130.687,11,999.999,
13,1.761,7,1.636,20,999.999,8,135.007,20,999.999,
6,1.007,10,1.140,10,1.274,6,109.617,10,999.999,
7,1.528,10,1.682,7,1.516,11,138.636,9,999.999,
