fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
2,0.479,3,0.556,2,0.583,3,122.481,3,11.250,
3,0.371,9,4.173,,,3,131.865,6,48.808,
4,0.560,2,0.041,14,2.305,1,128.769,3,20.397,
3,0.363,3,0.670,2,0.045,3,133.289,1,0.000,
4,0.654,2,0.090,2,0.029,3,119.373,20,999.999,
3,0.435,10,1.182,4,0.366,3,112.223,4,5.517,
5,0.638,4,0.375,3,0.237,3,112.177,2,19.783,
1,0.000,2,0.100,6,1.327,2,141.027,2,3.904,
3,0.423,3,0.216,3,0.370,1,104.251,1,0.000,
3,0.897,3,0.201,5,0.762,3,116.530,2,14.063,
3,0.897,3,0.201,5,0.762,3,116.530,3,12.462,
5,1.314,3,0.427,6,0.922,3,143.094,5,16.456,
8,0.763,4,1.252,6,0.945,6,140.810,2,4.471,
4,0.449,7,1.459,7,3.045,5,130.758,5,56.021,
1,0.000,5,0.985,6,127.651,4,10.580,
3,0.214,4,0.611,3,0.644,3,133.568,5,34.967,
1,0.000,2,0.048,2,0.127,1,108.322,2,19.678,
2,0.273,5,0.660,5,0.735,1,136.231,1,0.000,
