fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
18,4.022,15,2.878,15,3.128,14,126.465,20,999.999,
18,2.727,13,24.647,,,14,135.046,15,999.999,
19,2.074,17,2.634,17,3.191,19,132.543,20,999.999,
18,3.502,20,3.699,19,4.005,18,137.507,15,999.999,
16,2.299,16,2.280,16,3.445,16,122.332,11,999.999,
20,3.468,19,2.971,20,999.999,19,115.276,20,999.999,
19,2.311,18,2.676,17,2.996,19,114.495,13,999.999,
18,2.903,19,3.985,20,5.527,17,144.795,11,91.794,
19,2.286,20,3.387,20,4.878,19,106.857,15,999.999,
20,3.731,19,3.104,18,3.299,20,119.972,14,999.999,
20,3.731,19,3.104,18,3.299,20,119.972,16,999.999,
20,4.384,18,4.461,18,4.658,17,147.214,16,69.711,
20,4.510,20,4.869,19,5.210,20,145.570,18,999.999,
19,3.056,20,4.436,19,133.970,18,999.999,
18,3.524,9,999.999,20,4.231,16,131.597,20,999.999,
17,2.841,19,3.594,18,4.113,13,136.842,15,999.999,
19,2.199,19,2.474,18,2.696,17,110.875,20,999.999,
19,3.162,18,3.425,19,3.338,19,139.994,17,999.999,
