fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
7,2.201,8,1.816,8,1.948,6,124.074,20,999.999,
14,2.344,5,2.548,,,19,135.223,11,999.999,
18,2.011,9,1.195,9,1.867,9,130.763,8,74.865,
16,3.163,14,2.919,16,3.459,19,137.620,20,999.999,
11,1.914,11,1.569,8,2.237,14,121.517,10,999.999,
16,2.152,14,1.302,15,1.896,8,113.349,8,18.150,
14,1.422,11,1.631,14,2.536,14,113.839,10,999.999,
17,2.749,20,4.360,13,2.427,16,144.468,13,999.999,
8,0.923,10,1.280,16,2.099,6,105.480,6,73.160,
15,2.605,18,3.049,16,2.827,14,118.771,13,999.999,
15,2.605,18,3.049,16,2.827,14,118.771,20,999.999,
13,2.280,13,2.532,17,3.124,11,145.133,7,31.553,
18,2.466,18,4.076,15,3.967,15,143.883,15,999.999,
18,3.034,17,2.857,18,7.249,16,133.308,13,999.999,
17,2.404,9,1.866,13,130.849,9,89.883,
19,3.413,20,3.719,15,3.001,12,135.870,14,999.999,
15,1.481,15,1.785,13,1.986,11,109.879,15,999.999,
15,2.452,20,3.683,12,2.300,16,139.516,11,999.999,
