fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
3,0.490,1,0.000,1,0.000,1,122.188,2,9.975,
4,0.543,20,999.999,,,1,131.678,1,0.000,
2,0.110,5,0.284,10,1.939,2,128.792,2,6.660,
4,0.541,4,0.709,3,0.607,4,133.767,4,36.320,
3,0.381,1,0.000,1,0.000,1,119.149,1,0.000,
5,0.835,8,1.153,1,0.000,13,114.106,7,15.801,
3,0.354,2,0.215,1,0.000,1,111.459,1,0.000,
3,0.416,10,1.163,5,1.087,1,140.593,5,6.188,
2,0.269,1,0.000,1,0.000,8,104.424,4,7.430,
5,1.417,5,0.324,3,0.372,4,116.707,1,0.000,
5,1.417,5,0.324,3,0.372,4,116.707,4,12.885,
3,0.198,1,0.000,2,0.053,1,142.553,1,0.000,
3,0.142,3,0.703,4,0.415,5,140.126,1,0.000,
5,0.659,6,1.416,6,2.556,1,130.076,2,12.770,
2,0.014,1,0.000,2,0.211,1,127.319,1,0.000,
1,0.000,1,0.000,1,0.000,1,133.108,1,0.000,
2,0.003,1,0.000,1,0.000,9,999.999,
1,0.000,1,0.000,2,0.120,2,136.403,2,3.899,
