fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
5,1.683,9,1.858,9,1.963,11,125.091,11,999.999,
11,2.113,11,5.117,,,7,133.580,12,999.999,
8,0.739,6,0.573,12,2.230,7,129.842,9,80.188,
7,1.661,8,2.209,8,135.285,8,96.188,
7,1.456,7,0.885,9,2.472,13,121.397,6,999.999,
15,1.888,17,2.150,19,999.999,10,113.628,20,999.999,
6,0.921,12,1.669,15,2.664,10,113.271,8,60.374,
11,1.570,15,2.641,14,2.807,13,144.267,20,999.999,
12,1.471,9,1.252,11,105.597,13,999.999,
7,1.682,7,1.259,9,1.664,12,117.468,6,68.109,
7,1.682,7,1.259,9,1.664,12,117.468,17,999.999,
11,2.148,7,1.688,12,2.535,7,144.982,6,28.087,
7,0.720,5,1.596,9,1.612,7,141.013,13,999.999,
14,1.991,9,1.799,8,131.607,16,999.999,
7,1.260,7,999.999,8,1.808,11,129.879,20,999.999,
7,1.130,12,1.866,13,2.569,18,999.999,20,999.999,
14,1.462,9,0.881,16,2.406,7,109.703,20,999.999,
12,1.769,9,1.652,17,2.858,7,138.282,6,85.713,
