fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
10,2.758,19,3.659,17,3.447,17,126.847,20,999.999,
12,2.185,10,4.613,,,12,134.164,8,999.999,
17,2.004,11,1.544,16,2.882,20,132.900,20,999.999,
10,2.555,9,2.386,12,2.673,13,136.017,13,999.999,
12,2.000,15,2.205,7,2.149,11,121.329,14,999.999,
9,1.201,9,1.170,13,1.445,11,113.959,10,21.443,
17,1.820,14,1.741,12,2.424,18,114.318,12,999.999,
15,2.184,14,2.469,12,2.311,12,143.796,7,41.753,
7,0.844,7,1.108,12,1.619,15,999.999,20,999.999,
16,2.878,17,2.890,15,119.095,12,999.999,
16,2.878,17,2.890,15,119.095,13,999.999,
17,2.774,16,2.803,16,3.113,12,145.400,15,67.262,
16,2.212,17,3.565,16,143.756,11,999.999,
13,1.907,18,3.082,17,133.434,12,999.999,
14,1.927,11,2.050,12,129.972,8,88.953,
16,2.793,14,2.617,11,2.073,17,137.394,16,999.999,
13,1.440,14,2.261,13,110.154,8,999.999,
14,2.204,16,3.251,14,139.298,13,999.999,
