fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
16,3.723,13,2.525,16,3.436,13,125.568,10,999.999,
16,2.475,18,999.999,,,17,135.496,10,999.999,
16,1.870,12,1.565,7,1.635,14,131.684,10,95.711,
12,2.675,11,2.534,10,1.991,10,135.430,7,95.004,
14,2.083,12,1.718,12,2.803,10,121.272,5,999.999,
13,1.677,15,1.373,10,1.000,15,114.101,12,23.725,
9,1.063,8,1.364,6,0.976,9,113.135,6,40.716,
5,0.602,9,1.122,7,1.342,7,142.186,6,30.298,
11,1.282,11,1.366,10,1.536,9,105.674,8,999.999,
12,2.335,11,1.671,11,118.495,8,999.999,
12,2.335,11,1.671,11,118.495,9,999.999,
12,2.263,8,1.720,8,2.168,9,145.369,9,38.154,
11,1.280,10,2.202,13,2.564,14,142.760,6,71.528,
9,1.410,10,1.835,13,4.934,6,131.478,10,999.999,
6,1.054,2,0.799,7,1.733,5,129.111,6,67.788,
11,1.487,10,1.822,8,1.473,6,134.647,6,90.980,
8,1.076,7,0.791,9,1.252,10,109.830,5,999.999,
13,1.873,8,1.456,9,138.397,8,98.911,
