fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
13,3.077,11,1.971,10,2.056,10,125.081,7,999.999,
13,2.290,19,999.999,,,8,133.706,9,999.999,
11,1.722,15,2.009,4,1.398,18,132.318,7,62.606,
15,2.961,10,2.480,7,1.383,9,135.337,6,86.788,
13,2.023,14,1.920,11,2.667,8,121.070,4,999.999,
11,1.541,7,1.079,8,0.776,7,113.329,13,49.089,
13,1.384,10,1.566,5,0.769,8,113.018,5,40.476,
10,1.396,7,0.944,4,0.988,6,142.111,20,999.999,
18,1.783,17,2.026,7,105.605,7,999.999,
14,2.592,12,1.811,12,2.088,13,118.639,9,999.999,
14,2.592,12,1.811,12,2.088,13,118.639,8,999.999,
8,1.941,12,2.231,14,2.950,8,145.244,17,999.999,
10,1.181,8,1.974,5,0.934,12,142.246,9,75.276,
7,1.329,8,1.601,15,5.707,9,131.658,6,78.630,
9,1.508,3,2.626,13,2.364,7,129.260,7,71.424,
10,1.324,9,1.813,9,1.526,9,135.148,8,999.999,
7,1.041,12,1.180,5,109.598,7,999.999,
10,1.740,7,1.446,6,1.287,8,138.374,7,92.062,
