fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
6,1.712,5,1.030,3,0.666,15,999.999,20,999.999,
7,1.756,8,3.547,,,5,133.033,4,46.035,
7,0.615,3,0.066,2,0.400,4,129.545,5,39.346,
8,1.829,6,1.790,6,1.216,5,134.905,20,999.999,
6,1.035,6,0.783,6,1.563,6,120.175,3,75.820,
6,0.997,2,0.487,5,0.429,5,112.998,3,3.745,
8,0.973,15,2.137,9,1.632,6,112.557,3,35.297,
4,0.545,3,0.111,2,0.470,10,143.414,1,0.000,
6,0.804,5,0.390,5,0.645,4,104.896,3,6.012,
8,1.697,1,0.000,1,0.000,6,116.818,5,65.955,
8,1.697,1,0.000,1,0.000,6,116.818,20,999.999,
6,1.370,6,1.319,5,0.850,6,143.863,3,10.791,
6,0.688,1,0.000,1,0.000,3,139.840,4,40.335,
3,0.211,3,0.838,2,0.757,4,130.595,3,22.519,
5,0.963,3,0.375,3,128.306,3,9.679,
9,1.245,5,0.795,16,3.031,4,133.577,20,999.999,
5,0.963,3,0.228,5,0.626,14,109.330,20,999.999,
5,0.713,3,0.303,10,1.767,4,136.959,20,999.999,
