fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
4,0.608,4,0.905,5,1.152,4,123.033,4,22.393,
2,0.053,17,999.999,,,4,132.140,5,48.076,
5,0.591,4,0.168,20,9.636,5,129.567,4,22.475,
2,0.337,2,0.263,1,0.000,2,133.253,3,11.000,
1,0.000,3,0.310,3,0.935,4,119.439,20,999.999,
2,0.345,3,0.563,7,0.739,1,112.178,2,3.145,
2,0.292,1,0.000,4,0.421,4,112.252,7,58.632,
2,0.095,4,0.127,9,1.590,3,141.693,14,999.999,
4,0.519,6,0.661,6,0.873,3,104.779,5,20.370,
2,0.475,4,0.300,2,0.234,2,116.444,3,36.570,
2,0.475,4,0.300,2,0.234,2,116.444,2,0.908,
1,0.000,2,0.262,1,0.000,4,143.270,4,14.471,
9,0.879,9,1.983,7,1.245,4,140.069,5,60.082,
1,0.000,2,0.604,4,1.772,2,130.121,20,DNS,
20,4.907,6,999.999,4,0.472,10,128.498,5,32.622,
4,0.277,6,0.846,7,1.263,5,133.577,3,15.779,
3,0.045,6,0.602,3,0.542,3,108.538,3,54.007,
3,0.530,4,0.475,4,0.512,5,136.985,4,45.386,
