fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
8,2.568,7,1.464,11,2.230,8,124.487,8,999.999,
10,1.887,4,2.349,,,11,134.150,7,72.893,
9,1.410,18,2.762,19,3.382,16,132.118,20,999.999,
9,2.163,15,2.963,14,2.902,14,135.948,10,999.999,
9,1.621,10,1.463,10,2.483,12,121.371,7,999.999,
7,1.005,5,0.680,9,0.908,6,113.162,6,12.038,
10,1.095,13,1.686,20,999.999,13,113.756,20,999.999,
13,1.659,13,2.371,16,3.091,15,143.347,8,49.400,
10,1.192,15,1.617,13,1.658,10,105.726,20,999.999,
11,2.283,9,1.379,14,2.431,9,118.912,20,999.999,
11,2.283,9,1.379,14,2.431,9,118.912,7,999.999,
9,2.026,9,1.808,7,1.944,13,145.439,10,39.447,
12,1.527,12,2.384,10,142.056,14,999.999,
15,2.044,16,2.843,14,132.402,20,999.999,
13,1.744,13,999.999,17,3.086,19,130.413,20,999.999,
8,1.172,11,1.861,10,1.758,7,134.852,7,92.944,
10,1.318,11,1.170,15,2.265,8,109.805,20,999.999,
9,1.713,13,2.324,15,2.742,12,138.725,20,999.999,
