fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
17,3.947,16,2.905,13,2.514,20,127.143,20,999.999,
8,1.846,3,2.016,,,10,134.220,20,999.999,
14,1.771,16,2.051,6,1.625,12,131.168,20,999.999,
11,2.648,19,3.627,9,1.870,11,135.964,11,999.999,
17,2.360,17,2.419,18,4.398,18,122.411,16,999.999,
17,2.280,16,1.754,16,2.170,17,114.893,15,999.999,
18,1.837,17,2.305,13,2.504,17,114.209,9,999.999,
9,1.298,6,0.751,11,2.239,8,142.753,3,4.009,
16,1.684,16,1.985,15,2.066,18,106.608,10,999.999,
18,3.362,14,2.336,15,2.488,17,119.102,16,999.999,
18,3.362,14,2.336,15,2.488,17,119.102,14,999.999,
15,2.704,17,3.108,15,3.039,15,146.915,11,48.999,
17,2.394,16,3.449,17,4.701,18,144.728,7,74.156,
12,1.658,14,2.557,8,3.333,13,132.307,8,999.999,
15,1.956,5,3.624,14,2.436,15,131.409,20,999.999,
12,1.640,16,3.120,12,2.199,15,136.868,11,999.999,
20,999.999,14,1.549,11,1.430,16,110.776,6,999.999,
17,2.945,14,2.452,13,2.575,15,139.646,18,999.999,
