fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
15,3.319,17,2.988,20,4.475,18,126.858,13,999.999,
19,2.885,12,6.954,,,15,135.023,20,999.999,
15,1.833,20,2.920,13,2.300,17,132.313,20,DNS,
17,3.181,16,3.005,17,3.467,20,137.070,14,999.999,
19,2.639,13,1.891,13,2.879,20,122.532,20,999.999,
10,1.410,11,1.226,12,1.388,12,999.999,20,999.999,
16,1.656,19,2.689,11,2.134,16,114.182,14,999.999,
16,2.401,17,2.812,15,3.036,18,145.030,12,92.160,
13,1.486,12,1.376,7,1.308,13,105.741,12,999.999,
6,1.621,10,1.454,8,1.519,8,117.894,11,999.999,
6,1.621,10,1.454,8,1.519,8,117.894,10,999.999,
14,2.384,14,2.550,10,2.363,20,999.999,14,57.078,
5,0.610,6,1.649,11,1.851,9,141.398,20,999.999,
10,1.441,13,2.412,12,4.809,7,131.582,7,999.999,
12,1.715,14,999.999,10,2.036,9,129.778,14,999.999,
14,2.121,15,2.795,5,1.017,20,135.641,12,999.999,
11,1.356,13,1.387,8,1.200,12,110.116,12,999.999,
8,1.650,12,1.794,8,1.563,13,138.808,12,999.999,
