fp3,fp3_time,fp2,fp2_time,fp1,fp1_time,qp,qp_time,race,race_time,
12,2.889,6,1.393,4,1.026,5,123.485,5,28.827,
6,1.610,1,0.000,,,16,135.433,3,45.192,
1,0.000,8,0.935,3,0.869,6,129.687,20,999.999,
5,1.451,5,1.420,4,1.100,7,135.161,5,60.416,
5,0.811,5,0.636,5,1.185,5,119.706,20,999.999,
4,0.545,6,0.766,3,0.346,4,112.496,5,6.199,
4,0.393,5,0.453,7,1.052,5,112.403,20,999.999,
6,0.872,1,0.000,1,0.000,5,141.879,20,999.999,
5,0.692,4,0.349,2,0.190,5,104.983,20,999.999,
4,1.177,6,0.496,4,0.676,5,116.797,4,52.125,
4,1.177,6,0.496,4,0.676,5,116.797,5,13.276,
4,1.118,4,0.472,4,0.800,5,143.380,20,999.999,
1,0.000,2,0.556,3,0.121,2,139.814,10,999.999,
6,0.699,4,0.848,1,0.000,3,130.541,1,0.000,
4,0.855,6,1.596,4,128.332,2,1.211,
5,0.625,2,0.397,4,1.004,16,133.658,4,16.768,
9,1.214,5,0.371,4,0.548,4,108.925,1,0.000,
6,0.960,6,1.017,3,0.148,6,137.328,5,46.269,
