fp3,fp2,fp1,qp,race,
7,8,8,6,20,
14,5,,19,11,
18,9,9,9,8,
16,14,16,19,20,
11,11,8,14,10,
16,14,15,8,8,
14,11,14,14,10,
17,20,13,16,13,
8,10,16,6,6,
7,14,14,10,13,
15,18,16,14,20,
13,13,17,11,7,
14,16,16,20,15,
18,18,15,15,9,
18,17,18,16,13,
17,9,13,9,
19,20,15,12,14,
17,20,15,15,
15,15,13,11,15,
15,20,12,16,11,
15,6,7,6,20,
12,11,6,16,13,
20,19,9,10,17,
15,13,14,20,20,
7,7,8,10,20,
18,18,9,18,15,
9,7,12,20,12,
18,6,6,10,11,
15,6,7,6,20,
12,11,6,16,13,
20,19,9,10,17,
15,13,14,20,20,
7,7,8,10,20,
