fp3,fp2,fp1,qp,race,
17,16,13,20,20,
8,3,,10,20,
14,16,6,12,20,
11,19,9,11,11,
17,17,18,18,16,
17,16,16,17,15,
18,17,13,17,9,
9,6,11,8,3,
16,16,15,18,10,
20,15,15,15,16,
18,14,15,17,14,
15,17,15,15,11,
2,15,13,2,7,
17,16,17,18,8,
12,14,8,13,8,
15,5,14,15,20,
12,16,12,15,11,
13,14,12,11,6,
20,14,11,16,16,
17,14,13,15,18,
14,14,15,13,14,
20,17,14,20,14,
17,20,20,18,14,
8,14,11,10,8,
19,19,20,18,11,
16,19,18,17,17,
20,19,18,16,20,
14,17,17,19,17,
14,14,15,13,14,
20,17,14,20,14,
17,20,20,18,14,
8,14,11,10,8,
19,19,20,18,11,
