fp3,fp2,fp1,qp,race,
15,17,20,18,13,
19,12,,15,20,
15,20,13,17,20,
17,16,17,20,14,
19,13,13,20,20,
10,11,12,12,20,
16,19,11,16,14,
16,17,15,18,12,
13,12,7,13,12,
10,16,10,8,11,
6,10,8,8,10,
14,14,10,20,14,
13,7,9,18,20,
5,6,11,9,7,
10,13,12,7,7,
12,14,10,9,14,
14,15,5,20,12,
19,15,20,19,12,
11,13,8,12,20,
8,12,8,13,12,
9,10,10,11,9,
17,10,13,14,8,
13,14,18,14,13,
18,19,19,16,9,
14,9,9,11,20,
11,8,15,12,14,
10,16,9,15,16,
6,13,19,17,12,
9,10,10,11,9,
17,10,13,14,8,
13,14,18,14,13,
18,19,19,16,9,
14,9,9,11,20,
